Date,Clicks,Impressions,CTR,Position
2026-03-05,7,918,0.76%,10.8
2026-03-06,7,1510,0.46%,17.7
2026-03-07,15,1837,0.82%,21.7
2026-03-08,4,1426,0.28%,22.7
2026-03-09,10,1532,0.65%,18.3
2026-03-10,9,1593,0.56%,15.5
2026-03-11,12,2086,0.58%,19.6
2026-03-12,8,1668,0.48%,20.3
2026-03-13,5,1843,0.27%,19.7
2026-03-14,7,1397,0.5%,19.1
2026-03-15,4,982,0.41%,16.3
2026-03-16,5,1886,0.27%,22
2026-03-17,9,1904,0.47%,20
2026-03-18,6,1850,0.32%,23.1
2026-03-19,7,1787,0.39%,20.1
2026-03-20,7,1573,0.45%,18.6
2026-03-21,6,1916,0.31%,19.8
2026-03-22,6,1855,0.32%,23.2
2026-03-23,10,1801,0.56%,21.2
2026-03-24,11,1834,0.6%,17.7
2026-03-25,4,2475,0.16%,24.2
2026-03-26,5,1997,0.25%,22.6
2026-03-27,8,1811,0.44%,20.4
2026-03-28,11,2008,0.55%,22.4
2026-03-29,11,2205,0.5%,29.7
2026-03-30,12,2115,0.57%,25.7
2026-03-31,14,2115,0.66%,21.2
2026-04-01,7,2208,0.32%,19.6
2026-04-02,9,2365,0.38%,24.8
2026-04-03,6,1984,0.3%,18
2026-04-04,4,2244,0.18%,20.7
2026-04-05,10,1752,0.57%,26.9
2026-04-06,7,2843,0.25%,23.8
2026-04-07,11,2301,0.48%,21.1
2026-04-08,14,1905,0.73%,21.9
2026-04-09,6,1773,0.34%,21.6
2026-04-10,7,2061,0.34%,21.1
2026-04-11,1,2034,0.05%,21.8
2026-04-12,3,2033,0.15%,26.5
2026-04-13,3,2304,0.13%,22.7
2026-04-14,5,1884,0.27%,22.7
2026-04-15,5,2737,0.18%,27.4
2026-04-16,9,1973,0.46%,23.6
2026-04-17,12,2189,0.55%,21.3
2026-04-18,2,2197,0.09%,22.8
2026-04-19,11,2046,0.54%,24
2026-04-20,6,2537,0.24%,27.3
2026-04-21,6,1777,0.34%,18.8
2026-04-22,7,1984,0.35%,23
2026-04-23,8,2110,0.38%,23.1
2026-04-24,8,1879,0.43%,19.8
2026-04-25,7,1923,0.36%,21.7
2026-04-26,11,1954,0.56%,25.7
2026-04-27,7,2014,0.35%,23.1
2026-04-28,9,1976,0.46%,21.5
2026-04-29,10,1711,0.58%,22.3
2026-04-30,12,1587,0.76%,18.2
2026-05-01,7,2495,0.28%,9.9
2026-05-02,7,1963,0.36%,19.1
2026-05-03,4,2182,0.18%,24
2026-05-04,11,2267,0.49%,23
2026-05-05,6,1789,0.34%,19.7
2026-05-06,10,1835,0.54%,18.7
2026-05-07,7,1973,0.35%,20.3
2026-05-08,5,2805,0.18%,15.1
2026-05-09,3,1457,0.21%,21
2026-05-10,4,1674,0.24%,22.7
2026-05-11,10,1808,0.55%,23.3
2026-05-12,13,1980,0.66%,23.6
2026-05-13,10,1762,0.57%,22.2
2026-05-14,10,2023,0.49%,18.7
2026-05-15,7,2364,0.3%,15.5
2026-05-16,8,1761,0.45%,23.1
2026-05-17,11,1870,0.59%,22.5
2026-05-18,13,2324,0.56%,20
2026-05-19,11,2042,0.54%,24.9
2026-05-20,9,2254,0.4%,23.3
2026-05-21,11,1937,0.57%,27.1
2026-05-22,8,2298,0.35%,18.2
