Country,Clicks,Impressions,CTR,Position
United States,587,147605,0.4%,21.58
Pakistan,12,126,9.52%,9.71
Canada,8,375,2.13%,15.87
Nigeria,5,35,14.29%,14.4
Colombia,4,81,4.94%,15.19
India,2,419,0.48%,19.12
Bangladesh,2,176,1.14%,23.43
Mexico,2,157,1.27%,12.1
Philippines,1,572,0.17%,8.2
Germany,1,232,0.43%,17.63
Saudi Arabia,1,40,2.5%,16.7
Dominican Republic,1,30,3.33%,14.53
Tunisia,1,23,4.35%,9.61
Bulgaria,1,10,10%,10.4
United Kingdom,0,1567,0%,26.85
Brazil,0,499,0%,13.57
Australia,0,317,0%,33.51
New Zealand,0,259,0%,74.11
Vietnam,0,204,0%,16.31
Spain,0,170,0%,17.22
Indonesia,0,139,0%,17.57
Netherlands,0,95,0%,11.09
France,0,90,0%,12.16
Switzerland,0,81,0%,18.22
Italy,0,80,0%,15.56
South Korea,0,78,0%,10.86
Argentina,0,73,0%,15.29
Russia,0,62,0%,11.26
Turkey,0,59,0%,20.53
Singapore,0,57,0%,46.11
Malaysia,0,56,0%,16.91
Japan,0,55,0%,12.65
Egypt,0,51,0%,12.39
Thailand,0,51,0%,13.86
Ireland,0,44,0%,13.25
South Africa,0,43,0%,16.7
Norway,0,36,0%,10.19
China,0,36,0%,13.03
Ukraine,0,34,0%,9.38
United Arab Emirates,0,34,0%,13.91
Israel,0,33,0%,23.09
Poland,0,31,0%,5.58
Chile,0,31,0%,16.65
Algeria,0,30,0%,11.4
Peru,0,30,0%,19.37
Ecuador,0,28,0%,19.96
Morocco,0,27,0%,16.52
Hungary,0,26,0%,16.77
Slovenia,0,24,0%,3.04
Venezuela,0,24,0%,13.71
Hong Kong,0,22,0%,12.5
Portugal,0,22,0%,12.64
Taiwan,0,22,0%,16.73
Greece,0,22,0%,16.86
Belgium,0,21,0%,12.38
Romania,0,21,0%,12.67
Puerto Rico,0,20,0%,9.2
Czechia,0,18,0%,14
Costa Rica,0,17,0%,8
Kazakhstan,0,17,0%,20.06
Slovakia,0,17,0%,43.82
Serbia,0,14,0%,13
Sweden,0,14,0%,16.57
Jordan,0,13,0%,7
Panama,0,12,0%,7.25
South Sudan,0,11,0%,1.36
Denmark,0,11,0%,8.73
Ghana,0,11,0%,13.27
Austria,0,10,0%,5.6
Jamaica,0,10,0%,6.6
Bahrain,0,10,0%,12.4
Honduras,0,10,0%,23.9
Sri Lanka,0,9,0%,5.78
Nepal,0,9,0%,8.22
Iran,0,9,0%,9
Luxembourg,0,9,0%,9.33
Georgia,0,9,0%,9.56
Latvia,0,9,0%,19.89
Croatia,0,8,0%,7.5
Mongolia,0,8,0%,12.12
Uzbekistan,0,8,0%,17.5
Lithuania,0,8,0%,18.88
Paraguay,0,8,0%,19.5
Iraq,0,7,0%,10.43
Palestine,0,7,0%,13.57
Finland,0,6,0%,5.33
Nicaragua,0,6,0%,9.67
El Salvador,0,6,0%,10.67
Bolivia,0,6,0%,19.17
Guatemala,0,6,0%,19.17
Qatar,0,6,0%,28.67
Laos,0,5,0%,13.4
Myanmar (Burma),0,5,0%,18.2
Kenya,0,5,0%,18.4
Cambodia,0,5,0%,24.4
Armenia,0,5,0%,26.4
Namibia,0,5,0%,32.8
Moldova,0,4,0%,4.75
Western Sahara,0,4,0%,5.25
Uruguay,0,4,0%,8.75
Kuwait,0,4,0%,11.25
Estonia,0,4,0%,19
Cyprus,0,4,0%,28.75
Ethiopia,0,4,0%,39.25
Azerbaijan,0,4,0%,58.25
Zimbabwe,0,4,0%,72.75
Guam,0,3,0%,6.67
Albania,0,3,0%,7
Cuba,0,3,0%,7.33
Bosnia & Herzegovina,0,3,0%,12.33
Tanzania,0,3,0%,22.67
Oman,0,3,0%,26.67
Isle of Man,0,2,0%,1
Macedonia,0,2,0%,1
New Caledonia,0,2,0%,1
Libya,0,2,0%,1.5
Bermuda,0,2,0%,4.5
Botswana,0,2,0%,5.5
Cayman Islands,0,2,0%,6
U.S. Virgin Islands,0,2,0%,6
Mozambique,0,2,0%,6.5
Liberia,0,2,0%,7
St. Lucia,0,2,0%,7.5
Turks & Caicos Islands,0,2,0%,7.5
Antigua & Barbuda,0,2,0%,8.5
Curaçao,0,2,0%,11
Bahamas,0,2,0%,12
Andorra,0,2,0%,26
Belarus,0,2,0%,35
Iceland,0,2,0%,44.5
Fiji,0,1,0%,1
Madagascar,0,1,0%,1
Grenada,0,1,0%,2
Swaziland,0,1,0%,2
Barbados,0,1,0%,5
Sint Maarten,0,1,0%,5
Kosovo,0,1,0%,5
Lebanon,0,1,0%,6
Senegal,0,1,0%,6
Belize,0,1,0%,7
Montenegro,0,1,0%,7
Northern Mariana Islands,0,1,0%,7
British Virgin Islands,0,1,0%,8
Trinidad & Tobago,0,1,0%,10
Maldives,0,1,0%,11
Guernsey,0,1,0%,12
Mali,0,1,0%,14
Somalia,0,1,0%,14
Cameroon,0,1,0%,16
Suriname,0,1,0%,16
Togo,0,1,0%,17
Guyana,0,1,0%,18
Uganda,0,1,0%,19
Gabon,0,1,0%,20
Congo - Brazzaville,0,1,0%,22
Angola,0,1,0%,29
Benin,0,1,0%,43
Kyrgyzstan,0,1,0%,74
